Connected to mysqlserver
First step
Second_step
ACC 2018-01-01 2018-01-30
ACC 2018-02-01 2018-02-28
ACC 2018-03-01 2018-03-30
ACC 2018-03-31 2018-03-31
ACC 2018-04-01 2018-04-30
ACC 2018-05-01 2018-05-30
ACC 2018-05-31 2018-05-31
ACC 2018-06-01 2018-06-30
ADANIENT 2018-01-01 2018-01-30
ADANIENT 2018-02-01 2018-02-28
ADANIENT 2018-03-01 2018-03-30
ADANIENT 2018-03-31 2018-03-31
ADANIENT 2018-04-01 2018-04-30
ADANIENT 2018-05-01 2018-05-30
ADANIENT 2018-05-31 2018-05-31
ADANIENT 2018-06-01 2018-06-30
ADANIPORTS 2018-01-01 2018-01-30
ADANIPORTS 2018-02-01 2018-02-28
ADANIPORTS 2018-03-01 2018-03-30
ADANIPORTS 2018-03-31 2018-03-31
ADANIPORTS 2018-04-01 2018-04-30
ADANIPORTS 2018-05-01 2018-05-30
ADANIPORTS 2018-05-31 2018-05-31
ADANIPORTS 2018-06-01 2018-06-30
ADANIPOWER 2018-01-01 2018-01-30
ADANIPOWER 2018-02-01 2018-02-28
ADANIPOWER 2018-03-01 2018-03-30
Commited candles: 150000
ADANIPOWER 2018-03-31 2018-03-31
ADANIPOWER 2018-04-01 2018-04-30
ADANIPOWER 2018-05-01 2018-05-30
ADANIPOWER 2018-05-31 2018-05-31
ADANIPOWER 2018-06-01 2018-06-30
AJANTPHARM 2018-01-01 2018-01-30
AJANTPHARM 2018-02-01 2018-02-28
AJANTPHARM 2018-03-01 2018-03-30
AJANTPHARM 2018-03-31 2018-03-31
AJANTPHARM 2018-04-01 2018-04-30
AJANTPHARM 2018-05-01 2018-05-30
AJANTPHARM 2018-05-31 2018-05-31
AJANTPHARM 2018-06-01 2018-06-30
ALBK 2018-01-01 2018-01-30
ALBK 2018-02-01 2018-02-28
ALBK 2018-03-01 2018-03-30
ALBK 2018-03-31 2018-03-31
ALBK 2018-04-01 2018-04-30
ALBK 2018-05-01 2018-05-30
ALBK 2018-05-31 2018-05-31
ALBK 2018-06-01 2018-06-30
AMARAJABAT 2018-01-01 2018-01-30
AMARAJABAT 2018-02-01 2018-02-28
AMARAJABAT 2018-03-01 2018-03-30
AMARAJABAT 2018-03-31 2018-03-31
AMARAJABAT 2018-04-01 2018-04-30
AMARAJABAT 2018-05-01 2018-05-30
AMARAJABAT 2018-05-31 2018-05-31
AMARAJABAT 2018-06-01 2018-06-30
Commited candles: 300000
AMBUJACEM 2018-01-01 2018-01-30
AMBUJACEM 2018-02-01 2018-02-28
AMBUJACEM 2018-03-01 2018-03-30
AMBUJACEM 2018-03-31 2018-03-31
AMBUJACEM 2018-04-01 2018-04-30
AMBUJACEM 2018-05-01 2018-05-30
AMBUJACEM 2018-05-31 2018-05-31
AMBUJACEM 2018-06-01 2018-06-30
ANDHRABANK 2018-01-01 2018-01-30
ANDHRABANK 2018-02-01 2018-02-28
ANDHRABANK 2018-03-01 2018-03-30
ANDHRABANK 2018-03-31 2018-03-31
ANDHRABANK 2018-04-01 2018-04-30
ANDHRABANK 2018-05-01 2018-05-30
ANDHRABANK 2018-05-31 2018-05-31
ANDHRABANK 2018-06-01 2018-06-30
APOLLOHOSP 2018-01-01 2018-01-30
APOLLOHOSP 2018-02-01 2018-02-28
APOLLOHOSP 2018-03-01 2018-03-30
APOLLOHOSP 2018-03-31 2018-03-31
APOLLOHOSP 2018-04-01 2018-04-30
APOLLOHOSP 2018-05-01 2018-05-30
APOLLOHOSP 2018-05-31 2018-05-31
APOLLOHOSP 2018-06-01 2018-06-30
APOLLOTYRE 2018-01-01 2018-01-30
APOLLOTYRE 2018-02-01 2018-02-28
APOLLOTYRE 2018-03-01 2018-03-30
Commited candles: 450000
APOLLOTYRE 2018-03-31 2018-03-31
APOLLOTYRE 2018-04-01 2018-04-30
APOLLOTYRE 2018-05-01 2018-05-30
APOLLOTYRE 2018-05-31 2018-05-31
APOLLOTYRE 2018-06-01 2018-06-30
ARVIND 2018-01-01 2018-01-30
ARVIND 2018-02-01 2018-02-28
ARVIND 2018-03-01 2018-03-30
ARVIND 2018-03-31 2018-03-31
ARVIND 2018-04-01 2018-04-30
ARVIND 2018-05-01 2018-05-30
ARVIND 2018-05-31 2018-05-31
ARVIND 2018-06-01 2018-06-30
ASHOKLEY 2018-01-01 2018-01-30
ASHOKLEY 2018-02-01 2018-02-28
ASHOKLEY 2018-03-01 2018-03-30
ASHOKLEY 2018-03-31 2018-03-31
ASHOKLEY 2018-04-01 2018-04-30
ASHOKLEY 2018-05-01 2018-05-30
ASHOKLEY 2018-05-31 2018-05-31
ASHOKLEY 2018-06-01 2018-06-30
ASIANPAINT 2018-01-01 2018-01-30
ASIANPAINT 2018-02-01 2018-02-28
ASIANPAINT 2018-03-01 2018-03-30
ASIANPAINT 2018-03-31 2018-03-31
ASIANPAINT 2018-04-01 2018-04-30
ASIANPAINT 2018-05-01 2018-05-30
Commited candles: 600000
ASIANPAINT 2018-05-31 2018-05-31
ASIANPAINT 2018-06-01 2018-06-30
AUROPHARMA 2018-01-01 2018-01-30
AUROPHARMA 2018-02-01 2018-02-28
AUROPHARMA 2018-03-01 2018-03-30
AUROPHARMA 2018-03-31 2018-03-31
AUROPHARMA 2018-04-01 2018-04-30
AUROPHARMA 2018-05-01 2018-05-30
AUROPHARMA 2018-05-31 2018-05-31
AUROPHARMA 2018-06-01 2018-06-30
AXISBANK 2018-01-01 2018-01-30
AXISBANK 2018-02-01 2018-02-28
AXISBANK 2018-03-01 2018-03-30
AXISBANK 2018-03-31 2018-03-31
AXISBANK 2018-04-01 2018-04-30
AXISBANK 2018-05-01 2018-05-30
AXISBANK 2018-05-31 2018-05-31
AXISBANK 2018-06-01 2018-06-30
BAJAJ-AUTO 2018-01-01 2018-01-30
BAJAJ-AUTO 2018-02-01 2018-02-28
BAJAJ-AUTO 2018-03-01 2018-03-30
BAJAJ-AUTO 2018-03-31 2018-03-31
BAJAJ-AUTO 2018-04-01 2018-04-30
BAJAJ-AUTO 2018-05-01 2018-05-30
BAJAJ-AUTO 2018-05-31 2018-05-31
BAJAJ-AUTO 2018-06-01 2018-06-30
BAJAJFINSV 2018-01-01 2018-01-30
BAJAJFINSV 2018-02-01 2018-02-28
Commited candles: 750000
BAJAJFINSV 2018-03-01 2018-03-30
BAJAJFINSV 2018-03-31 2018-03-31
BAJAJFINSV 2018-04-01 2018-04-30
BAJAJFINSV 2018-05-01 2018-05-30
BAJAJFINSV 2018-05-31 2018-05-31
BAJAJFINSV 2018-06-01 2018-06-30
BAJFINANCE 2018-01-01 2018-01-30
BAJFINANCE 2018-02-01 2018-02-28
BAJFINANCE 2018-03-01 2018-03-30
BAJFINANCE 2018-03-31 2018-03-31
BAJFINANCE 2018-04-01 2018-04-30
BAJFINANCE 2018-05-01 2018-05-30
BAJFINANCE 2018-05-31 2018-05-31
BAJFINANCE 2018-06-01 2018-06-30
BALKRISIND 2018-01-01 2018-01-30
BALKRISIND 2018-02-01 2018-02-28
BALKRISIND 2018-03-01 2018-03-30
BALKRISIND 2018-03-31 2018-03-31
BALKRISIND 2018-04-01 2018-04-30
BALKRISIND 2018-05-01 2018-05-30
BALKRISIND 2018-05-31 2018-05-31
BALKRISIND 2018-06-01 2018-06-30
BALRAMCHIN 2018-01-01 2018-01-30
