Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"ASHOKLEY","161.50","162.25","160.30","162.00","1.35","0.84","68.24","110.14","167.50","81.50","89.36","11.49"
"WIPRO","271.50","273.60","268.30","272.70","2.25","0.83","15.25","41.34","334.00","249.33","9.16","-4.65"
"PVR","1,401.55","1,432.00","1,400.00","1,413.00","11.45","0.82","1.77","25.10","1,601.00","1,142.05","-8.39","9.53"
"STAR","528.80","536.00","514.10","532.00","4.35","0.82","8.81","46.58","1,102.20","514.10","-50.45","-18.27"
"TATACHEM","770.00","778.90","763.50","775.00","6.25","0.81","6.78","52.31","787.50","560.40","20.28","7.50"
"EICHERMOT","30,750.00","31,150.00","30,625.00","30,890.65","243.15","0.79","0.34","104.90","33,480.00","26,208.05","10.84","3.06"
"FEDERALBNK","90.00","90.70","89.20","90.10","0.70","0.78","251.25","226.15","127.65","87.30","-23.09","-6.87"
"GAIL","341.20","344.80","337.15","342.55","2.55","0.75","26.18","89.43","389.63","259.99","-17.95","3.19"
"KSCL","493.00","500.00","490.00","496.60","3.55","0.72","1.22","6.05","708.00","431.20","-10.78","-6.29"
"MRPL","105.45","107.85","105.00","106.10","0.75","0.71","9.73","10.35","146.70","102.65","-20.55","-6.48"
"RAYMOND","1,085.00","1,104.75","1,081.65","1,094.15","7.65","0.70","4.72","51.72","1,153.00","598.10","42.24","5.48"
"BIOCON","628.90","640.00","619.10","630.00","4.40","0.70","14.95","94.29","677.90","295.03","88.17","1.93"
"CHOLAFIN","1,581.10","1,596.55","1,566.00","1,588.95","10.95","0.69","1.78","28.19","1,760.05","985.25","46.06","1.59"
"GRASIM","1,096.20","1,108.85","1,082.40","1,100.50","7.45","0.68","10.43","114.79","1,375.00","1,012.15","-5.65","1.72"
"ZEEL","584.90","599.00","583.50","592.15","3.75","0.64","18.91","111.82","619.00","458.10","14.71","3.21"
"TATAGLOBAL","284.40","290.50","284.40","287.00","1.75","0.61","19.74","56.85","328.75","140.20","85.34","4.17"
"SHREECEM","16,200.00","16,290.00","16,035.00","16,202.50","97.10","0.60","0.10","16.51","20,538.00","15,652.15","-17.31","-4.67"
"CAPF","586.10","601.25","580.10","589.40","3.40","0.58","7.79","46.07","901.85","580.10","-25.78","-9.71"
"COALINDIA","272.00","272.30","269.50","270.85","1.50","0.56","17.78","48.12","316.95","233.70","-2.76","-3.58"
"DALMIABHA","2,840.00","2,840.00","2,751.55","2,785.00","15.60","0.56","0.85","23.75","3,350.00","2,299.50","17.61","0.69"
"MOTHERSUMI","336.45","342.75","329.10","337.80","1.85","0.55","16.37","55.15","395.60","266.67","23.83","-0.71"
"ADANIPORTS","412.35","414.50","410.85","413.00","2.20","0.54","14.43","59.52","452.35","325.10","17.36","6.65"
"EXIDEIND","259.65","263.80","257.15","261.00","1.35","0.52","30.39","79.41","270.50","192.40","5.67","10.73"
"RELIANCE","981.25","991.30","977.75","986.00","4.85","0.49","40.12","395.87","1,011.00","647.55","45.10","7.52"
"IOC","168.80","173.10","168.45","168.75","0.80","0.48","149.28","255.06","231.48","156.75","-61.77","-5.88"
"TATAELXSI","1,181.90","1,201.00","1,177.50","1,181.00","5.40","0.46","7.95","94.66","1,259.90","641.18","53.52","14.29"
"SRF","2,258.00","2,277.40","2,215.00","2,245.00","10.05","0.45","1.74","39.07","2,446.60","1,415.25","26.14","9.93"
"ANDHRABANK","36.20","36.70","35.20","36.35","0.15","0.41","32.75","11.80","73.45","31.95","-48.69","-19.13"
"MCX","767.90","775.60","755.50","768.00","2.85","0.37","2.68","20.49","1,182.00","665.10","-31.92","3.36"
"HINDALCO","242.00","243.30","238.60","242.15","0.85","0.35","62.37","150.67","284.00","184.55","29.42","5.28"
"DIVISLAB","1,194.00","1,223.00","1,183.15","1,194.40","4.10","0.34","6.08","73.38","1,223.00","532.65","87.40","4.44"
"IDFCBANK","43.85","44.70","43.35","43.85","0.15","0.34","71.16","31.34","71.15","43.35","-32.69","-11.59"
"INDUSINDBK","1,890.05","1,897.90","1,873.60","1,891.50","6.15","0.33","5.42","102.10","1,910.95","1,375.20","32.10","2.36"
"M&MFIN","501.95","509.00","494.20","501.70","1.40","0.28","6.99","35.14","534.00","289.95","51.32","2.89"
"TCS","3,454.20","3,485.00","3,442.50","3,461.00","9.75","0.28","13.14","454.76","3,560.00","2,316.00","48.38","17.82"
"HCLTECH","931.20","938.25","931.10","932.70","2.50","0.27","10.59","98.81","1,108.00","824.85","10.56","-1.66"
"TECHM","663.00","671.75","654.20","665.30","1.70","0.26","28.81","190.79","729.50","356.65","54.58","6.20"
"CASTROLIND","178.00","179.60","176.65","178.10","0.45","0.25","17.75","31.61","226.00","171.50","-59.61","-14.27"
"UNIONBANK","84.00","89.75","83.25","87.75","0.20","0.23","231.33","199.04","196.05","83.25","-50.34","-15.05"
"DHFL","625.55","634.00","625.00","625.20","1.35","0.22","26.13","163.63","680.55","387.20","41.59","16.77"
"MARUTI","8,738.00","8,765.00","8,702.05","8,721.60","16.65","0.19","2.64","230.83","9,996.40","6,635.90","29.44","-5.95"
"KPIT","259.10","262.50","257.75","259.55","0.45","0.17","11.81","30.72","266.00","104.05","100.89","17.50"
"GODREJCP","1,086.00","1,086.45","1,064.75","1,080.00","1.65","0.15","2.64","28.37","1,156.00","859.15","12.26","0.23"
"CEATLTD","1,440.90","1,453.90","1,418.05","1,436.00","2.00","0.14","6.06","87.23","2,019.00","1,413.05","-12.84","-11.70"
"JUBLFOOD","2,478.00","2,515.00","2,433.00","2,477.90","3.30","0.13","13.26","328.47","2,668.80","817.20","154.25","2.03"
"LICHSGFIN","500.00","503.60","495.00","499.25","0.50","0.10","13.85","69.28","794.00","476.60","-28.41","-10.95"
"BHARATFORG","726.00","731.90","721.30","724.90","0.65","0.09","2.73","19.86","798.00","510.25","28.86","-0.83"
"BOSCHLTD","18,766.00","18,841.30","18,566.00","18,701.00","7.45","0.04","0.04","8.37","25,240.00","16,975.00","-19.44","-5.30"
"TORNTPOWER","234.80","239.00","232.75","234.85","0.10","0.04","6.32","14.88","307.35","171.50","3.69","-5.74"
